aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
24051,400.277,234.426,156.221,9.629,Eric Adams,1694,1391,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24052,466.618,357.967,101.88,6.77,Eric Adams,1710,1415,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24053,566.728,473.087,77.036,16.605,Eric Adams,1711,1463,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
24054,48.447,41.308,5.774,1.365,Eric Adams,309,230,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
24055,182.579,141.336,33.328,7.915,Eric Adams,1098,866,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
24056,347.019,226.138,108.948,11.933,Eric Adams,1171,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24057,276.247,165.254,100.021,10.972,Eric Adams,1018,860,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24058,437.257,199.728,221.686,15.843,Curtis Sliwa,1278,1116,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0
24059,442.972,228.205,206.522,8.244,Eric Adams,1198,1044,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0
24060,652.21,326.114,300.09,26.005,Eric Adams,1826,1583,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1
24061,524.566,260.676,242.699,21.19,Eric Adams,1580,1358,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
24062,564.239,294.74,251.303,18.196,Eric Adams,1639,1422,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1
24063,308.272,151.315,145.146,11.811,Eric Adams,720,627,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1
24064,337.922,173.589,155.513,8.82,Eric Adams,1534,1232,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1
24065,328.805,252.663,65.327,10.814,Eric Adams,1733,1399,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
24066,8.925,6.752,1.863,0.31,Eric Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25001,310.284,195.77,100.036,14.478,Eric Adams,1786,1423,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
25002,496.988,336.562,140.723,19.704,Eric Adams,1457,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
